Date,Open,High,Low,Close,Adj Close,Volume
2006-04-25,113.440002,113.470001,112.500000,112.839996,75.304695,8235400
2006-04-26,112.970001,113.690002,112.910004,113.389999,75.671722,6018800
2006-04-27,112.889999,114.099998,112.680000,113.769997,75.925278,14549000
2006-04-28,113.660004,114.099998,113.389999,113.879997,75.998756,4110100
2006-05-01,113.949997,114.209999,113.190002,113.300003,75.611671,5649300
2006-05-02,113.720001,114.199997,113.529999,114.150002,76.178970,6042300
2006-05-03,113.930000,114.070000,113.559998,113.959999,76.052109,4748300
2006-05-04,114.139999,114.629997,114.139999,114.330002,76.299080,4126700
2006-05-05,114.860001,115.830002,114.779999,115.629997,77.166550,6889900
2006-05-08,115.629997,116.000000,115.629997,115.750000,77.246651,3502300
2006-05-09,115.830002,116.419998,115.769997,116.339996,77.640419,3952400
2006-05-10,116.250000,116.800003,116.040001,116.559998,77.787239,8291900
2006-05-11,116.459999,116.459999,114.849998,115.190002,76.872917,9635700
2006-05-12,114.910004,115.059998,113.820000,113.870003,75.992096,9974000
2006-05-15,113.519997,114.430000,113.419998,114.320000,76.292374,7380100
2006-05-16,114.400002,114.720001,114.000000,114.300003,76.279037,6972200
2006-05-17,113.699997,113.839996,111.919998,111.989998,74.737411,17248200
2006-05-18,112.470001,113.610001,111.300003,111.419998,74.357040,10613500
2006-05-19,111.610001,111.709999,110.629997,111.470001,74.577103,22180500
2006-05-22,110.709999,111.660004,110.269997,110.970001,74.242615,16605100
2006-05-23,111.620003,111.940002,110.349998,110.370003,73.841225,9473200
2006-05-24,110.849998,111.570000,110.190002,111.129997,74.349716,15372400
2006-05-25,111.559998,112.089996,111.290001,112.050003,74.965202,8585700
2006-05-26,112.440002,112.809998,112.120003,112.779999,75.453575,5280200
2006-05-30,112.290001,112.379997,110.800003,110.830002,74.148972,8299800
2006-05-31,111.250000,111.809998,110.800003,111.730003,74.751122,7130200
2006-06-01,111.589996,112.660004,111.470001,112.400002,75.199394,5982200
2006-06-02,112.760002,112.849998,111.879997,112.360001,75.172607,6554400
2006-06-05,112.160004,112.220001,110.400002,110.690002,74.055321,9940600
2006-06-06,110.779999,110.940002,109.209999,109.989998,73.586967,15140100
2006-06-07,110.120003,110.730003,109.139999,109.190002,73.051781,9062900
2006-06-08,109.120003,109.669998,107.519997,109.000000,72.924606,26005000
2006-06-09,109.430000,109.750000,108.680000,108.830002,72.810867,7295800
2006-06-12,109.190002,109.260002,107.849998,107.949997,72.222191,9054200
2006-06-13,107.970001,108.690002,106.959999,106.970001,71.566551,13085700
2006-06-14,107.150002,108.360001,106.949997,108.330002,72.476410,10351500
2006-06-15,108.550003,110.459999,108.459999,110.349998,73.827934,11215100
2006-06-16,109.919998,110.379997,109.709999,109.980003,73.689804,5751300
2006-06-19,110.300003,110.440002,108.959999,109.169998,73.147087,7078800
2006-06-20,109.470001,110.230003,109.269997,109.860001,73.609421,7217400
2006-06-21,109.699997,111.250000,109.690002,110.709999,74.178925,9160600
2006-06-22,110.589996,110.669998,109.790001,110.199997,73.837212,4818100
2006-06-23,110.010002,110.690002,109.660004,109.970001,73.683098,6711600
2006-06-26,109.940002,110.449997,109.650002,110.400002,73.971222,4298800
2006-06-27,110.410004,110.589996,109.139999,109.260002,73.207329,6514800
2006-06-28,109.440002,109.839996,108.970001,109.820000,73.582649,3983900
2006-06-29,110.230003,111.870003,110.129997,111.800003,74.909264,8164300
2006-06-30,112.220001,112.279999,111.589996,111.790001,74.902573,3904500
2006-07-03,111.949997,112.250000,111.860001,112.199997,75.177307,1052200
2006-07-05,111.730003,111.849998,111.180000,111.470001,74.688118,3459400
2006-07-06,111.650002,112.559998,111.629997,112.190002,75.170601,9406000
2006-07-07,111.650002,112.400002,110.690002,110.959999,74.346420,7181800
2006-07-10,111.339996,111.779999,110.900002,111.150002,74.473717,4375500
2006-07-11,110.849998,111.529999,110.290001,111.470001,74.688118,5236100
2006-07-12,111.339996,111.519997,109.980003,110.330002,73.924332,4850200
2006-07-13,109.760002,109.790001,108.260002,108.300003,72.564178,16123600
2006-07-14,108.430000,108.589996,107.010002,107.320000,71.907524,8206500
2006-07-17,107.379997,108.070000,107.169998,107.519997,72.041489,8335300
2006-07-18,107.750000,108.239998,106.889999,108.190002,72.490440,11280500
2006-07-19,108.440002,110.440002,108.099998,110.040001,73.729988,11503300
2006-07-20,110.300003,110.449997,109.239998,109.419998,73.314575,7764700
2006-07-21,109.599998,109.610001,108.290001,108.559998,72.837563,9159500
2006-07-24,109.000000,110.599998,109.000000,110.500000,74.139221,9628100
2006-07-25,110.269997,111.260002,109.889999,110.790001,74.333748,8120800
2006-07-26,110.800003,111.480003,110.389999,110.910004,74.414268,6206200
2006-07-27,111.349998,111.779999,110.779999,111.269997,74.655785,9135400
2006-07-28,111.459999,112.330002,111.150002,112.070000,75.192535,11306000
